"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check if High Severity, Top Risky, and Mass Download counts match expected values via Token URL","108","Verify Key Findings metrics for InMotion365","Cognni-AI Regression Suite","Tue Feb 03 14:27:19 UTC 2026","failed","Tue Feb 03 14:27:19 UTC 2026","com.cognni.tests.Overview_InMotion365","Login Test on Firefox","com.cognni.tests.Overview_InMotion365","testInMotion365_KeyFindings"
"","10315","Verify MSFT SSO with Fluent Interface","Cognni-AI Regression Suite","Tue Feb 03 14:27:06 UTC 2026","broken","Tue Feb 03 14:27:17 UTC 2026","com.cognni.tests.MSLoginTest","Login Test on Firefox","com.cognni.tests.MSLoginTest","testMSFTLoginFluent"
"Check if High Severity, Top Risky, and Mass Download counts match expected values via Token URL","65","Verify Key Findings metrics for InMotion365","Cognni-AI Regression Suite","Tue Feb 03 14:27:12 UTC 2026","failed","Tue Feb 03 14:27:12 UTC 2026","com.cognni.tests.Overview_InMotion365","Login Test on Chrome","com.cognni.tests.Overview_InMotion365","testInMotion365_KeyFindings"
"","10663","Verify MSFT SSO with Fluent Interface","Cognni-AI Regression Suite","Tue Feb 03 14:27:01 UTC 2026","broken","Tue Feb 03 14:27:11 UTC 2026","com.cognni.tests.MSLoginTest","Login Test on Chrome","com.cognni.tests.MSLoginTest","testMSFTLoginFluent"
