"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Navigates to Dashboard using stored JWT token and validates High Severity, Top Risky, and Mass Download counts.","7715","Verify Key Findings metrics for InMotion365","Cognni-AI Regression Suite","Wed Feb 04 14:30:24 UTC 2026","passed","Wed Feb 04 14:30:32 UTC 2026","com.cognni.tests.Overview_InMotion365","Login Test on Firefox","com.cognni.tests.Overview_InMotion365","testInMotion365_KeyFindings"
"Navigates to Dashboard using stored JWT token and validates High Severity, Top Risky, and Mass Download counts.","7677","Verify Key Findings metrics for InMotion365","Cognni-AI Regression Suite","Wed Feb 04 14:29:41 UTC 2026","passed","Wed Feb 04 14:29:49 UTC 2026","com.cognni.tests.Overview_InMotion365","Login Test on Chrome","com.cognni.tests.Overview_InMotion365","testInMotion365_KeyFindings"
"","12203","Verify MSFT SSO Login","Cognni-AI Regression Suite","Wed Feb 04 14:29:38 UTC 2026","passed","Wed Feb 04 14:29:50 UTC 2026","com.cognni.tests.MSLoginTest","Login Test on Firefox","com.cognni.tests.MSLoginTest","testMSFTLoginFluent"
"","12087","Verify MSFT SSO Login","Cognni-AI Regression Suite","Wed Feb 04 14:29:27 UTC 2026","passed","Wed Feb 04 14:29:39 UTC 2026","com.cognni.tests.MSLoginTest","Login Test on Chrome","com.cognni.tests.MSLoginTest","testMSFTLoginFluent"
